id,ecode,ingredient_name,category,id_status,desc
28,E142,Greens S,Colouring,1,"A green synthetic coal tar dye found in desserts, gravy granules, ice cream, mint sauce, sweets, packet breadcrumbs, cake mixes and tinned peas. Currently research is ongoing into acceptable intake levels, however it is known to cause hyperactivity, asthma, uticaria, and insomnia. Not recommended for consumption by children. Banned in Canada, Finland, Japan, Norway, Sweden and the United States."
29,E150a,Plain Caramel,Colouring,1,"It is made by controlled heat treatment of sugar beet or sugar cane (with or without the presence of alkalis or acids). The caramel group of colours are the most widely used group of colours, comprising some 98% of all colours used. Between them they can be found in brown bread, buns, chocolate, biscuits, chocolate flavoured flour based confectionery, coatings, decorations, fillings and toppings, crisps, dessert mixes, doughnuts, fish and shellfish spreads, frozen desserts, glucose tablets, gravy browning, ice cream, jams, milk desserts, pancakes, pickles, sauces and dressings, soft drinks particularly cola drinks, stouts, sweets and vinegar."
30,E150b,Caustic sulphite caramel,Colouring,1,"It is made by controlled heat treatment of sugar beet or sugar cane (with or without the presence of alkalis or acids). The caramel group of colours are the most widely used group of colours, comprising some 98% of all colours used. Between them they can be found in brown bread, buns, chocolate, biscuits, chocolate flavoured flour based confectionery, coatings, decorations, fillings and toppings, crisps, dessert mixes, doughnuts, fish and shellfish spreads, frozen desserts, glucose tablets, gravy browning, ice cream, jams, milk desserts, pancakes, pickles, sauces and dressings, soft drinks particularly cola drinks, stouts, sweets and vinegar."
31,E150c,Ammonia caramel,Colouring,1,"It is made by controlled heat treatment of sugar beet or sugar cane (with or without the presence of alkalis or acids). The caramel group of colours are the most widely used group of colours, comprising some 98% of all colours used. Between them they can be found in brown bread, buns, chocolate, biscuits, chocolate flavoured flour based confectionery, coatings, decorations, fillings and toppings, crisps, dessert mixes, doughnuts, fish and shellfish spreads, frozen desserts, glucose tablets, gravy browning, ice cream, jams, milk desserts, pancakes, pickles, sauces and dressings, soft drinks particularly cola drinks, stouts, sweets and vinegar."
32,E150d,Sulphite ammonia caramel,Colouring,1,"It is made by controlled heat treatment of sugar beet or sugar cane (with or without the presence of alkalis or acids). The caramel group of colours are the most widely used group of colours, comprising some 98% of all colours used. Between them they can be found in brown bread, buns, chocolate, biscuits, chocolate flavoured flour based confectionery, coatings, decorations, fillings and toppings, crisps, dessert mixes, doughnuts, fish and shellfish spreads, frozen desserts, glucose tablets, gravy browning, ice cream, jams, milk desserts, pancakes, pickles, sauces and dressings, soft drinks particularly cola drinks, stouts, sweets and vinegar."
33,E151,"Black PN, Brilliant Black BN",Colouring,1,"A violet/black synthetic coal tar and azo dye. Used in decorations and coatings, desserts, fish paste, flavoured milk drinks, ice cream, mustard, red fruit jams, sauces, savoury snacks, soft drinks, soups and sweets. Not recommended for consumption by children. Banned in Denmark, Australia, Austria, Belgium, Canada, Finland, France, Germany, Japan, Norway, Switzerland, Sweden, USA and Norway ."
34,E152,Black 7984,Colouring,3,"A brown-to-black synthetic diazo dye. It usually comes as a tetrasodium salt. When used as a food dye, it has E number E152. It is also used in cosmetics. Its use is discontinued in USA and EU since 1984. It is currently delisted and not used anymore both in European Union and USA. It is also not permitted in Australia and Japan. It appears to cause allergic or intolerance reactions, particularly amongst those with an aspirin intolerance. It is a histamine liberator, and may worsen the symptoms of asthma. It is one of the colourants that the Hyperactive Children's Support Group recommends be eliminated from the diet of children."
35,E153,"Carbon black, Vegetable carbon",Colouring,1,"Whilst this black Colouring can be obtained from various sources including activated charcoal, bones, meat, blood, various fats, oils and resins or just the incomplete combustion of natural gas, it is normally derived from burnt vegetable matter. This could include Genetically Modified crops. Can be found in concentrated fruit juices, jams, jellies and liquorice. It is banned as a food additive in the United States of America."
36,E154,"Brown FK, Kipper Brown",Colouring,1,"A highly suspect brown mixture of six synthetic azo dyes together with other Colourings and sodium chloride and/or sodium sulphate. Found mainly in kippers and smoked mackerel but also occasionally in cooked hams and crisps. Not recommended for consumption by children. Banned throughout the EU (except in the UK where its use is still permmitted!) Also prohibited in Australia, Austria, Canada, Finland, Ireland, Japan, Norway, Sweden and the United States."
37,E155,"Brown HT, Chocolate brown HT",Colouring,1,"A brown synthetic ?coal tar' and azo dye found mainly in chocolate flavour cakes. It appears to cause allergic and/or intolerance reactions, particularly amongst those with an aspirin intolerance and asthma sufferers, also known to induce skin sensitivity. Not recommended for consumption by children. Its use is banned in Australia, Austria, Belgium, Denmark, France, Germany, Norway, Sweden, Switzerland and the United States."
38,E160a,"Alpha-carotene, Beta-carotene, Gamma-carotene",Colouring,4,"Orange or yellow plant pigments, found mainly in carrots, green leafed vegetables and tomatoes, which the human body converts into ?Vitamin A' in the liver. Can be commercially manufactured in the laboratory but beta-carotene, with some alpha-carotene and gamma-carotene present, is normally extracted from carrots and other yellow or orange fruits and vegetables with hexane. Used in butter and soft margarines, coffee sponge cakes, milk products and soft drinks. Please be aware that some manufacturers use gelatine as a stabiliser. With the move away from porcine and bovine gelatine this is likely to be fish gelatine."
39,E160b,"Annatto, bixin, norbixin",Colouring,1,"A yellow, peach or red vegetable dye obtained from the seed coat of the fruit of the Annatto tree, Bixa orellana. May be either oil-soluble or water soluble and is stable in processing, baking and brine. Used, sometimes in combination with E100, in cheese (Cheshire, Double Gloucester and Red Leicester), coleslaw, crisps, custard, fish fingers, flavoured instant mashed potato, fruit and cream fillings and toppings, frying oil, ice cream and lollies, icings, liqueurs, low calorie spreads, margarine, salad cream and mayonnaise, smoked fish, soft drinks, sponge cakes and puddings and yoghurt. Also used as a body paint, digestive aid and expectorant. Also used in soap, fabric dye and varnishes."
40,E160c,"Capsanthin, capsorubin, Paprika extract",Colouring,1,"An orange to red colour extracted from the fruit pod and seeds of the red pepper, Capsicum annuum. Normally obtained by solvent extraction from the Hungarian variety with Spain being a major producer. Used widely in poultry feed to deepen the colour of egg yolks. It can also be found in cheese slices. Expect to see more use in meat products with the swing away from synthetic colours towards the natural ones. Not permitted in Australia."
41,E160d,Lycopene,Colouring,1,"A red colour extracted from tomatoes and pink grapefruit, which does not appear to be in use currently. Be aware that if it does become widely available it may be produced from Genetically Modified tomatoes. There has been much made recently of Lycopene being very useful for its' anti-cancer properties but it is not apparent whether the quantities that would be used as an additive would be beneficial -the recommendation being to eat a tomato a day! (GM tomatoes have not yet been approved for general sale as tomatoes -only purees and pastes). Not permitted in Australia."
42,E160e,Beta-apo-8'-carotenal (C 30),Colouring,1,"An orange to red colour, normally synthetic when used as a food colour, although it occurs naturally in oranges and tangerines. Can be found in cheese slices."
43,E160f,Ethyl ester of beta-apo-8'-carotenic acid (C 30),Colouring,1,"Natural colour, present in many plants. It is made commercially from E160e or isolated from plants. It is a dark red food colour, slightly soluble in water. Found in many different products. Daily intake isupto 5 mg/kg body weight."
44,E161a,Flavoxanthin,Colouring,1,"Natural colour, present in many plants. Commercially prepared from buttercup (Ranunculus sp.). Yellow food colour. Slightly soluble in water. Rarely used. If used only in confectionary. Daily intake is upto 5 mg/kg body weight."
45,E161b,Lutein,Colouring,1,"The E161 group are Xanthophylls, (from the Greek, Xanthos -yellow). They are yellow pigments, related to carotene. Extracted using the solvent hexane they normally contain other source plant material. Lutein is found in egg yolks, fat cells and green leaves. Can be obtained from the same sources and at the same time as Chlorophyll. Used in poultry feed to enhance the colour of egg yolks."
46,E161c,Cryptoaxanthin,Colouring,1,"Natural colour, present in many plants. Commercially prepared from Physalis species. Yellow food colour. Slightly soluble in water. Rarely used. If used only in confectionary."
47,E161d,Rubixanthin,Colouring,1,"Natural colour, present in many plants. Commercially prepared from Rosa (rose) species. Yellow food colour. Slightly soluble in water. Rarely used."
48,E161e,Violaxanthin,Colouring,1,"Natural colour, present in many plants. Commercially prepared from Viola species. Yellow food colour. Slightly soluble in water. Rarely used."
49,E161f,Rhodoxanthin,Colouring,1,"Natural colour, present in many plants and birds. Commercially prepared from different plant species. Yellow food colour. Slightly soluble in water. Rarely used."
50,E161g,Canthaxanthin,Colouring,1,"E161g is more orange than yellow, and are related to carotene. Extracted using the solvent hexane they normally contain other source plant material. Canthaxanthin is also available in some mushrooms, crustaceans and fish, but it is normally obtained commercially from beta-carotene ( thus depends on the source of beta-carotene). As well as being used in such products as chicken in breadcrumbs, fish fingers, mallow biscuits, pickles and preserves, sauces and sweets it is also fed to farmed salmon and trout to enhance the colour of the flesh. Fed to laying hens to make to colour egg yolks."
51,E162,"Beetroot Red, Betanin",Colouring,1,"A deep red/purple natural extract from beetroot. It can impart an earthy taste to the food. Can be found in desserts, ice cream, jams, jellies, liquorice, oxtail soup, sauces and sweets."
52,E163,Anthocyanins,Colouring,1,"Natural water soluble plant pigments, present in the cell sap, which imparts the red or blue colours in flowers, fruits and vegetables. Commercially available anthocyanins are normally extracted from grape skins or red cabbage. Can be found in black cherry yoghurt, dairy products, glace cherries, ice cream, jellies, pickles, soft drinks, tomato, carrot or vegetable soups and sweets."
53,E170,Calcium carbonate,Colouring,1,"Extensively naturally occurring as chalk, limestone, marble, dolomite, eggshells (consist of 94% calcium carbonate), pearls, coral, stalactites, stalagmites, and the shells of many marine animals. Can be found in biscuits, bread, cakes, ice cream, sweets, vitamin and other tablets and to firm canned fruit and vegetables. Also used in toothpastes, white paint and cleaning powders."
54,E171,Titanium dioxide,Colouring,1,"White in colour, Titanium dioxide is extracted from the naturally occurring mineral Ilmenite. Can be found in tablets and capsules, cottage and Mozzarella cheeses, horseradish cream and sauces, lemon curd, toothpaste, and white paint, also in sweets where it is often used to provide a barrier between different colours. Used to increase opacity in some sauces. Banned in Germany."
55,E172,Iron oxides and hydroxides,Colouring,1,"Naturally occurring pigments of iron, which can be yellow, red, orange, brown or black in colour. Manufactured by treating a solution of ferrous sulphate or chloride with an alkali and oxidising the precipitate in hot air. Can be found in cake and dessert mixes, meat paste, salmon and shrimp paste. Toxic at ?high doses', banned in Germany."
56,E173,Aluminium,Colouring,1,"As a food additive it is used solely for external decoration where it can be found in the covering of dragees and the decoration of sugar-coated flour confectionery, in cake decorations and to give a silvery finish to pills and tablets. Not permitted in Australia."
57,E174,Silver,Colouring,1,"As a food additive it is used solely for external decoration where it can be found on chocolate confectionery, in the covering of dragees and the decoration of sugar-coated flour confectionery. Not permitted in Australia."
58,E175,Gold,Colouring,1,"As a food additive it is used solely for external decoration where it can be found on chocolate confectionery, in the covering of dragees and the decoration of sugar-coated flour confectionery. Not permitted in Australia."
59,E180,"Pigment Rubine, Lithol Rubine BK",Colouring,1,"A synthetic azo dye, reddish in colour used solely for Colouring the rind of hard cheeses. People who suffer from asthma, rhinitis or the skin disease urticaria may find their symptoms become worse following consumption of azo dyes. Banned in Australia."
60,E200,Sorbic acid,Preservative,1,"Occurring naturally in some fruits Sorbic acid can be commercially manufactured synthetically from the toxic, irritant, colourless gas ketene. In addition to its use in these areas it can also be found in candied peel, cider, dessert sauces, fillings and toppings, fermented milks, frozen pizzas, fruit salads, gelatin capsules, soft drinks, soup concentrates, sweets, yoghurt, medicines and cosmetics. Not approved for use in Australia."
61,E201,Sodium sorbate,Preservative,1,"Preservative, manufactured by neutralisation of Sorbic acid. It can be found in candied peel, cheese, cider, dessert sauces, dried apricots, fillings and toppings, fermented milks, frozen pizzas, fruit salads, gelatin capsules, margarine, processed cheese spreads and slices, soft drinks, soup concentrates, sweets and yoghurt."
62,E202,Potassium sorbate,Preservative,1,"An antifungal and antibacterial -Preservative, manufactured by neutralisation of Sorbic Acid. It can be found in candied peel, cheese, cider, concentrated fruit juice, dessert sauces, dried apricots, fillings and toppings, fermented milks, frozen pizzas, fruit salads, gelatin capsules, glace cherries, jams and preserves, margarine, pickled cucumber, processed cheese spreads and slices, salad dressing, seafood dressings, soft drinks, soup concentrates, sweets, table olives, tinned fruit pie fillings and yoghurt."
63,E203,Calcium sorbate,Preservative,1,"An antifungal and antibacterial -Preservative, manufactured by neutralisation of Sorbic Acid, (E200). It can be found in candied peel, cheese, cider, concentrated fruit juice, dessert sauces, dried apricots, fillings and toppings, fermented milks, frozen pizzas, fruit salads, gelatin capsules, margarine, processed cheese spreads and slices, soft drinks, soup concentrates, sweets and yoghurt."
64,E210,Benzoic acid,Preservative,1,"Whilst occuring naturally in many edible berries, fruits and vegetables it is available commercially by chemical synthesis from Benzoin, a resin exuded by trees native to Asia. Can be found in coffee essence, dessert sauces, soft drinks, flavouring syrups, fruit juice, pulp and puree, jam, margarine, marinated herring and mackerel, pickles, salad cream and dressings, fruit yoghurt, baked goods, cheeses, gum, condiments, frozen dairy, relishes, soft sweets, cordials and sugar substitutes. Also used in cosmetics, as an antiseptic in many cough medications and an antifungal in ointments."
65,E211,Sodium benzoate,Preservative,1,"The sodium salt of benzoic acid (E210). Used as a Preservative, both antibacterial and antifungal. Found in barbecue sauce, caviar, cheesecake mix, fruit pies, margarine, pickled cucumbers, pineapple juice, prawns, preserves, salad dressing, soya sauce, sweets and table olives. Also in milk and meat products, relishes and condiments, baked goods lollipops and soft drinks (orange soft drinks may contain high quantities, up to 25mg per 250ml). Can be found in many oral medications aswell. Also see E210"
66,E212,Potassium benzoate,Preservative,1,"The potassium salt of benzoic acid (E210). Used as a Preservative, both antibacterial and antifungal. Can be found in margarine, pickled cucumbers, pineapple juice and table olives. Also see E210"
67,E213,Calcium benzoate,Preservative,1,"The calcium salt of benzoic acid E210. Used as a Preservative, both antibacterial and antifungal. It can be found in concentrated pineapple juice. Also see E210"
68,E214,Ethyl para-hydroxybenzoate,Preservative,1,"Benzoic acid and benzoates are used as preservatives against both yeasts and fungi. They are not very effective against bacteria. Activity does not depend on acidity. Benzoic acid esters are poorly soluble, which limits application. This Preservative comes with adverse health effects hence not recommended for consumption by children. It's not permitted for use in France and Australia. Also see E210"
69,E215,Sodium ethyl para-hydroxybenzoate,Preservative,1,"Benzoic acid and benzoates are used as preservatives against both yeasts and fungi. They are not very effective against bacteria. Activity does not depend on acidity. Benzoic acid esters are poorly soluble, which limits application. Benzoic acid esters are used in a wide range of food products and cosmetics. Also see E210"
70,E216,Propyl para-hydroxybenzoate,Preservative,1,"Benzoic acid and benzoates are used as preservatives against both yeasts and fungi. They are not very effective against bacteria. Activity does not depend on acidity. Benzoic acid esters are poorly soluble, which limits application. Benzoic acid esters are used in a wide range of food products and cosmetics. This Preservative comes with adverse health effects (possible contact allergen) hence not recommended for consumption by children. It's not permitted for use in France and Australia. Also see E210"
71,E217,Sodium propyl para-hydroxybenzoate,Preservative,1,"Benzoic acid and benzoates are used as preservatives against both yeasts and fungi. They are not very effective against bacteria. Activity does not depend on acidity. Benzoic acid esters are poorly soluble, which limits application. Benzoic acid esters are used in a wide range of food products and cosmetics. This Preservative comes with adverse health effects hence not recommended for consumption by children. It's not permitted for use in France and Australia. Also see E210"
72,E218,Methyl para-hydroxybenzoate,Preservative,1,"Benzoic acid and benzoates are used as preservatives against both yeasts and fungi. They are not very effective against bacteria. Activity does not depend on acidity. Benzoic acid esters are poorly soluble, which limits application. Benzoic acid esters are used in a wide range of food products and cosmetics. This Preservative comes with adverse health effects hencenot recommended for consumption by children. Can cause allergic reactions, particularly to the skin. It's not permitted for use in France and Australia. Also see E210"
73,E219,Sodium methyl para-hydroxybenzoate,Preservative,1,"Benzoic acid and benzoates are used as preservatives against both yeasts and fungi. They are not very effective against bacteria. Activity does not depend on acidity. Benzoic acid esters are poorly soluble, which limits application. Benzoic acid esters are used in a wide range of food products and cosmetics. This Preservative comes with adverse health effects (possible contact allergen) hence not recommended for consumption by children. It's not permitted for use in France and Australia. Also see E210"
74,E220,Sulphur dioxide,Preservative,1,"A Preservative derived from coal tar. Sulphur additives are toxic and in the United States of America, the Federal Drugs Administration have prohibited their use on raw fruit and vegetables. Sulphur dioxide is produced by the combustion of sulphur or gypsum. Typically found in beers, soft drinks, dried fruit, juices, cordials, wine, vinegar, and potato products. E220 is known to provoke asthma attacks and is difficult to metabolise for those with impaired kidney function. It also destroys vitamins B1 and E hence not recommended for consumption by children."
75,E221,Sodium sulphite,Preservative,1,"Sodium salt of sulphurous acid. It is a white, non-stable powder, which reacts with oxygen to form sodium sulphate. In acidic conditions it forms sulphurous acid, a preservative. It is used as a preservative as well as oxidising and bleaching agent to prevent spoilage and discoloration. In meat it prevents browning; however, it is not allowed in meat products, as it may mask bacterial spoilage characterized by discoloration. It is also used as a bread enhancer, by dint of its action in improving the kneading capacity of the bread. It is found in Egg-yolk and products with egg-yolk, salads, beer, bread, caramel. As a decontaminating agent in fresh orange juice, and during sugar refining."
76,E222,Sodium hydrogen sulphite,Preservative,1,"Mono-sodium salt of sulphurous acid. It is a white, non-stable powder, which reacts with oxygen to form sodium sulphate. In acidic conditions it forms sulphurous acid, which acts as a preservative. It is used as a preservative in some products and may be used as a bleaching agent. Found in Preserved onions, alcoholic beverages, dairy products, fruit juices, mashed potatoes, etc. As a decontaminating agent in fresh orange juice, and during sugar refining."
77,E223,Sodium metabisulphite,Preservative,1,"Sodium salt of sulphurous acid. Preservative which comes with adverse health effects. It may cause allergic reactions, particularly skin irritation, gastric irritation and asthma thus not recommended for consumption by children"
78,E224,Potassium metabisulphite,Preservative,1,"Potassium salt of sulphurous acid. Preservative which comes with adverse health effects. It can cause asthma, cyanosis, faintness and even unconsciousness hence not recommended to be consumed by children."
79,E225,Sodium sulphite,Preservative,1,"Potassium salt of sulphurous acid. It is a white non-stable powder, which reacts with oxygen to potassium sulphate. In acidic conditions it forms sulphurous acid, which acts as a preservative. It is used as a preservative and may be used as a bleaching agent in sugar production. It is used for the production of sulphite-caramel. Used in beer. Preservative which may cause asthma. A gastric irritant. Destroys vitamins B and E. Due to its possible adverse effects its not recommended for consumption by children. Not permitted in Australia."
80,E226,Calcium sulphite,Preservative,1,"Calcium salt of sulphurous acid. It is a white, non-stable powder, which reacts with oxygen to form calcium sulphate. In acidic conditions it forms sulphurous acid, which acts as a preservative. It is used as a preservative and may be used as a bleaching agent in sugar production. It increases the firmness of canned vegetables (due to the calcium). Found in Cider, sugar, fruit juices, etc. It may cause asthma. A gastric irritant. Destroys vitamins B and E. Due to its possible adverse effects its not recommended for consumption by children. Not permitted in Australia."
81,E227,Calcium hydrogen sulphite,Preservative,1,"Calcium salt of sulphurous acid. It is a greenish fluid, which reacts to form calcium sulphite. In acidic conditions it forms sulphurous acid, which acts as a preservative. It is used as a preservative in beer production. It increases the firmness of canned vegetables (due to the calcium). A Preservative which may cause allergic reaction hence not recommended for consumption by children. This preservative is not permitted in australia."
82,E228,Potassium hydrogen sulphite,Preservative,1,"Potassium salt of sulphurous acid. It is a white, non-stable powder, which reacts with oxygen to form potassium sulphate. In acidic conditions it forms sulphurous acid, which acts as a preservative. Found in Acid preserved fruits, wine, etc."
83,E230,"Biphenyl, diphenyl",Preservative,1,"Preservative. Used for agricultural purposes (an aromatic fungicide), it is a skin and eye irritant. Typically found impregnated into citrus fruit wrappers to prevent post harvest diseases. Biphenyl is a constituent of the wood preservative creosote. Not recommended for consumption by children due to its possible adverse effects."
84,E231,Orthophenyl phenol,Preservative,1,"Anti fungal agent used for agricultural purposes. Products such as pears, carrots, peaches, plums, prunes, sweet potatoes, citrus fruits, pineapple, tomatoes, peppers, cherries, and nectarines are typically treated post harvest. This preservative remains on the skins of fruits when they arrive at the retailer. Not recommended for consumption by children by health authorities. Not permitted in Australia."
85,E232,Sodium orthophenyl phenol,Preservative,1,"Sodium salt of phenylphenol, synthesised from phenyl ether. White powder used especially against Penicillium fungi growing on citrus fruits, apples and pears. It is very soluble in water, and used for spraying or dipping fruits. It slowly penetrates the skin and may be present in the fruit itself. Found Citrus fruits, apples, pears."
86,E233,Thiabendazole,Preservative,1,"Synthetic fungicide . A widely used fungicide, particularly on fruits. It is mainly sprayed on fruits; it could also be a component of an aqueous solution, in which fruits are submerged. It may only be used on the outer surface of fruits."
87,E234,Nisin,Preservative,1,"Nisin is a natural antimicrobial agent, derived from controlled fermentation of the naturally occurring bacteria Streptococcus lactis, found in milk. It is used as a preservative in heat processed and low pH foods. Nisin cannot be artificially synthesised, so Streptococcus lactis is 'farmed' to synthesise the nisin. Found in beer, processed cheese products and tomato paste. Basically an organic product with no known adverse health effects."
88,E235,"Natamycin, Pimaracin",Preservative,1,"Natamycin (Pimaricin) is an antimyotic food additive used to protect cheese from mould and yeast growth. The use of natamycin on cheese allows manufacturers to produce cheese that is acceptable to the aesthetic demands of consumers by eliminating the growth of mould and yeasts that occur during aging and storage. Other benefits include reducing the risk of mycotoxin growth and a longer shelf life. It is also sometimes used medically to treat candidiasis. Typically found in the rinds of cheeses, and some meat products"
89,E236,Formic acid,Preservative,1,"Formic acid is naturally present in ants, but also in many fruits (such as apples, strawberries and raspberries), honey and nettles. Commercially produced from sulphuric acid, sodium hydroxide and carbon monoxide . Used as a preservative against many micro-organisms. Due to its smell, use is very limited. Found in products like beverages, sweets, bakery products, icecream. Acceptable daily intake is upto 3 mg/kg bodyweight."
