id,ingredient_name,ecode,id_status,desc
45,Casein,,1,"This is a product made when milk is heated with an acid, like lactic acid. Caseins are used as food colors, where they make a nice opaque white color, which can then be tinted with other colors as required."
46,Caviar,,1,Fish eggs. The fish must be killed to obtain the eggs.
47,Cellulose gum,,1,Stabilizer and thickeners.
48,Cheese,,4,Likely to have been produced using animal rennet. Halal if vegetarian rennet is used (either microbial or synthetic). When buying please look for a sign indicating suitable for vegetarians.
49,Chelate (Chelation),,4,A complex chemical compound formed through the process of chelation. Its source could either be of plants or animals.
50,Chewing gum,,4,"Five basic ingredients: gum base, sugar or another sweetener, corn syrup, softener, and flavorings. Sugar sweetens the gum, corn syrup makes it fresh and flexible, and vegetable oil keeps the ingredients blended by retaining moisture. Often contains glycerine. Wrigleys use a vegetable glycerine."
51,Chips,,4,"Depending upon the flavours added(e.g. beef tallow is haram) and the oil (e.g. vegetable oil is halal, animal fat is haram) used in frying."
52,Chitin,,1,"chitin, main constituent of the shells of arthropods(e.g. shrimp, crab). It is a polysaccharide analogous in chemical structure to cellulose."
53,Chocolate,,4,Whey and emulsifiers in chocolates affect their credibility as halal.Please read the chocolate wrapper for ingredients and watch out for Whey and certain emulsifiers as they are haram.
54,Chocolate Liquor,,1,"Also known as cocoa liquor and cocoa mass, is a smooth liquid form of chocolate made from cocoa beans. It is used in making candy, drinks and chocolate flavoured foods. It does not contain alcohol. (???)"
55,Cholesterol,,2,"A type of fat always of animal origin. If extracted from a dhabiha animal, it is halal."
56,Citric acid,E330,1,"Citric acid is a weak organic acid found in citrus fruits like lemon, lime and oranges. It is a natural preservative and is also used to add an acidic (sour) taste to foods and soft drinks."
57,CMC (Carboxymethyl cellulose),E466,1,"Methylcellulose is used as a thickener in sauces and salad dressings, and as a thickener and stabilizer in ice cream, where it helps prevent ice crystals from forming during freezing or re-freezing after a thaw."
58,Cobalamine,,1,Synthetically prepared Vitamin B12.
59,Cochineal,E120,2,"Colourant, made from crushed insects.Imparts deep red shade to fruit juices, gelatins, candies(e.g. red smarties), shampoos.Natural carmine dye used in food and cosmetics is unacceptable for  Muslims because the dye is extracted from insects."
60,Cocoa Butter,,1,"It is the edible natural fat of the cacao bean, extracted during the process of making chocolate and cocoa powder and used in candies and confections. The smooth texture and sweet fragrance of cocoa butter makes it a popular ingredient in cosmetics and skin care products, such as soaps and lotions."
61,Corn starch,,1,"It is added to processed meats (lunch meats, hot dogs, sausages, etc.) as a filler, binder, moisture retainer, and fat substitute. They are added to soups, sauces and gravies as thickeners. They are used in extruded cereals and snacks to hold the shape of the material."
62,Cream of Tartar,,1,"It is used commercially in some soft drinks, candies, bakery products, gelatin desserts, and photography products. Cream of tartar can also be used to clean brass and copper cookware.Watch out for alcohol-based source."
63,Crisps,,4,"Often use whey as a flavour carrier, ready salted are the only clearly vegetarian flavour, though some beef crisps are flavoured with yeast extract and are therefore suitable.Always read the packaging to confirm the presence of halal ingredients."
64,Cyclamic acid,E952,1,"An artificial sweetening substance often used synergistically with other artificial sweeteners, especially saccharin; the mixture of 10 parts cyclamate to 1 part saccharin is common and masks the off-tastes of both sweeteners."
65,Dextrose,,1,"Used as sweeteners, as thickeners, and as structural elements in foods. Other names for dextrose include corn syrup, dextroglucose, invert sugar and glucose."
66,Di or monoglyceride,E471,4,"It is an Emulsifier which can be of vegetable or animal origin. There are two ways of finding out : either the wrapper says ""suitable for vegetarians"" or you have to ask the manufacturer (this has been done for the manufacturers listed above). If of animal origin it should be suspected till the source is known(whether zabiha animal or not)."
67,Diglycerides (plant),E471,1,"Emulsifier. These are natural components of edible oils that are found in low amounts in all vegetable oils. They are also used in small quantities in some foods as an emulsifier, such as mayonnaise and margarine."
68,Dimethylpolysiloxane,E900,1,"As a food additive, it has the E number E900 and is used as an anti-foaming agent and an anti-caking agent."
69,Dipotassium phosphate,,1,"Emulsifier, Used as additive in the coffee creamers substitute and as nutrient in various powdered materials (stabilizer (emulsifier) in non-dairy creamers, bodybuilding drinks). Also used as a buffering agent in certain pharmaceuticals."
70,Disaccharide,,1,The sources are mainly plants.It is an added sugar in food and drinks.
71,Disodium Guanylate / Disodium Inosinate,,1,"Disodium guanylate is a flavor enhancer derived from dried fish or dried seaweed. It is a by-product of disodium inosinate. It is also known as Flavour enhancer 627 or Flavour Enhancer E627. It is found in instant noodles, potato chips and snacks, savoury rice, tinned vegetables, cured meats, packet soup."
72,Dry Artificial Colors,,1,if not extracted with alcohol
73,Edible Fats,,4,Can mean both vegetable or animal fats.Check the packaging for the source of fat.
74,Egg,,1,Some vegetarians may wish to avoid battery eggs and/or barn eggs. The Vegetarian Society does not award its V symbol to any products containing eggs other than free range.
75,Elastin,,1,Elastin is one of the essential proteins that hold the human body together.It has it's uses in the field of medicine.
76,Emulsifiers,,4,"Food additive used to keep oils dispersed and in suspension, in products such as mayonnaise and peanut butter. Egg yolk is a naturally occurring emulsifier, but most of the emulsifiers in commercial use today are synthetic chemicals which May not be vegetarian."
77,Enzyme,,4,"A protein substance produced in living cells, that influences a chemical reaction within a plant or animal without being changed itself; an organic catalyst. Enzymes help break down food so that it can be digested.Some enzymes are halal while others are haram."
78,Enzyme treated starches,,4,"thickener, vegetable gum, the enzyme with which it is treated is in question."
79,Erythorbic acid,E317,1,"It is a vegetable derived food additive produced from sucrose. It is denoted by E Number E315, it is widely used as an antioxidant in processed foods."
80,Estradiol,,1,"Labelled the ""female"" hormone but also present in males, it represents the major estrogen in humans. It is synthesized for use in treating estrogen deficiency and breast cancer."
81,Estrogen,,1,"Group of steroid compounds, estrogens are used as part of some oral contraceptives and also in estrogen replacement therapy of postmenopausal women."
82,Estrone,,1,An estrogenic hormone produced in the ovaries and synthesized for use in treating estrogen deficiency and breast cancer.
83,Ethanol,,2,Consumption of alcohol is forbidden in Islam whether it is in small quantities(e.g add flavour) or large (e.g. alcoholic beverage).
84,Ethyl Alcohol,,2,Consumption of alcohol is forbidden in Islam whether it is in small quantities(e.g add flavour) or large (e.g. alcoholic beverage).
85,Ethylene Oxide,,3,"The chemical compound ethylene oxide is an important industrial chemical used as an intermediate in the production of ethylene glycol and other chemicals, and as a sterilant for foodstuffs and medical supplies."
86,Farina,,1,"A granular flour or meal made from cereal grains, especially whole wheat. It is used as an ingredient in many dishes and in processed foods such as breakfast cereals and pasta."
87,Fatty Acids,,4,"May be of animal(lard) or vegetable origin(coconut oil, olive oil, palm oil, sunflower oil etc)."
88,Fiber,,1,"Fiber is present in all plants that are eaten for food, including fruits, vegetables, grains, and legumes.It provides roughage to diet."
89,Folic Acid,,4,Folic acid in flour enrichment is from vegetable or chemical synthetic source and the whole enrichment for flour is kosher certified and halal. But folic acid and other vitamins in vitamin supplements or other vitamin fortified foods may not use the vegetable source all the time.
90,Food yeast,,1,"Microscopic, unicellular, fungal plant used for fermentation process and in baking bread. Yeast is also used in nutritional supplements popular with vegans and the health conscious."
91,Fructose,,1,"A fruit sugar found in honey; tree fruits; berries; melons; and some root vegetables, such as beets, sweet potatoes, parsnips and onions, usually in combination with sucrose and glucose. It is used in many food products and in pharmaceutics."
92,Fumaric acid,E297,1,"Fumaric acid is a food acidulant used since 1946 because it is non-toxic. It is a common component of food additives and dietar supplements, and is sometimes used as a substitute for tartaric acid in beverages or baking powder."
93,Galactose,,1,"Galactose is an essential sugar found in abundance in the diet, especially in dairy products, where it co-exists with lactose, as well as in the pectins of some fruits."
94,"Gelatine, Gelatin, Jello Gelatine",E441,4,"A product obtained (by boiling in water) from the partial hydrolysis of collagen derived from cartilage, bones, tendons and skin in animals. Vegetable gelatine is similar to animal gelatine in its function and is obtained from gluten of wheat or other cereals. Fish gelatine also exists. Concerned Muslims should find out the source of gelatine used. Alternatives such as Agar Agar, Carrageen and Gelozone exist."
95,Gin,,2,A strong colorless alcoholic drink distilled from grain and flavored with juniper berries
96,Gliadin (Gluten),,1,"Gliadin is found in wheat and some other grains, including oats, rye, barley, and millet. People with celiac disease, Crohn's disease, and other conditions may be sensitive to gliadin in the diet."
97,Glucose,,1,"All major dietary carbohydrates contain glucose, either as their only building block, as in starch and glycogen, or together with another monosaccharide, as in sucrose and lactose."
98,Glycerine or Glycerol,E422,1,"A natural carbohydrate alcohol, commercially produced either synthetically from propene, or bacterial fermentation of sugars; it is not produced from fat. Low-calorie sweetener, humectant in bakery and confectionery products.The term carbohydrate alcohol is a chemical definition; glycerol does not contain alcohol."
99,Glycerol monostearate,,4,"Used as emulsifying agents in many products, such as baked goods, whipped cream, and ice cream.It maybe halal or haram depending upon its source."
100,Glycine,,4,"Sweetener, flavour enhancer, Dietary supplement, rancidity retardant. Source may be derived from, or contain ingredients of, animal origin"
101,Gravy Vegetarian,,4,Gravy mixes available in supermarkets.Read the packaging carefully for presence of any non-veg ingrediant.Incase of ordering in a restaurant lookout for a sign indicating suitable for vegetarians or ask the manager.
102,Guar gum,E412,1,"The largest market for guar gum (EU food additive code E412) is in the food industry, where guar gum is used as a thickener and binder of free water in sauces, salad dressings, ice creams, instant noodles, pet foods, processed meats, bread improvers and beverages to name some."
103,Gum arabic,E414,1,"Emulsifier, important ingredient in soft drink syrups, ""hard"" gummy candies like gumdrops, and in marshmallows. For artists it is the traditional binder used in watercolor paint. Pharmaceuticals and cosmetics also use the gum. It is also used often as a lickable adhesive on postage stamps and cigarette papers."
104,Gum tragacanth,E413,1,"As a mucilage or paste it has been used as a topical treatment for burns. It is used in pharmaceuticals and foods as an emulsifier, thickener, stabilizer, and texturant."
105,Ham,,2,Meat cut from the thigh of the hind leg of a hog after curing by salting or smoking
106,Hemi Cellulose,,1,A complex carbohydrate similar to cellulose. Sourced from plants.
107,Histamine,,4,"There are many foods that contain histamine or cause the body to release histamine when ingested.These food maybe halal or haram, veg or non-veg. Some food containing histamine are Anchovies, Avocados, Beer, Canned Foods, Cheeses, Cidars, Eggplant, Fermented Beverages, Fermented Foods, Fish, Herring, Jams and Preserves, Mackerel, Meats, Processed Meats, Salami, Sardines, Sauerkraut, Sausage, Some Oriental Foods, SourCream, Spinach, Tomatoes, Tuna, Vegetables, Vinegars, Wines, Yeast extract, Yogurt. Also prepared synthetically."
108,Honey,,1,"The main uses of honey are in cooking, baking, spreading on bread or toast, and as an addition to various beverages such as tea. Honey is used in traditional folk medicine and apitherapy, and is an excellent natural preservative."
109,Hydrogenated oil,,1,Vegetable oil being hydrogenated making it solid at room temperature.
110,Ice Cream,,4,Different brands and flavours have different ingredients.Read carefully for non dairy fats and haram E numbers.
111,Insulin,,1,"Insulin is a hormone. And like many hormones, insulin is a protein.Used in bread for diabetics and is obtained from plants."
112,Iodine,,1,"A nutrient for thyroid gland. Iodine is used in pharmaceuticals, antiseptics, medicine, food supplements, dyes, catalysts, halogen lights and photography."
113,Isinglass,,1,"A fining agent derived from the swim bladders of certain tropical fish, especially the Chinese sturgeon."
114,Isopropyl citrate,,1,As a sequestering agent in antioxidant mixtures and in fatty foods.It improves &amp; protects flavour
115,Jelly,,2,Usually contains gelatine though alternatives are available.
116,L-Cysteine,E910,4,"L-Cysteine was available from hydrolisis of molecules in human hair.Other sources included pig bristles and feathers which are clearly haram until 2001 when a German company introduced a production route via fermentation (non-human, non-animal origin) which is halal."
117,L-Cysteine monohydrochloride,E920,2,"Derived from proteins, including animal protein and hair. It is a flour treatment agent that can be extracted from duck and chicken feather."
118,Lactic Acid,E270,4,"A bitter-tasting acid that forms when certain bacteria combine with lactose (milk sugar). Lactic acid is used to impart a tart flavor, as well as in the preservation of some foods. It occurs naturally in the souring of milk and can be found in foods such as cheese and yogurt. It's also used in the production of acid-fermented foods such as pickles and sauerkraut. Muslims should be aware that as it is a naturally occurring animal product, it could conceivably be of animal origin."
119,Lactitol,E966,1,Lactilol is a disaccharide analogue of lactulose. Its pharmaceutical use is in the treatment of constipation and hepatic encephalopathy. Lactilol is also used in Japan as a prebiotic and in Europe as a food sweetener.
120,Lactose,,1,"The main sugar present in milk. Upon hydrolysis, yields glucose and galactose. Produced from milk, sometimes as a by product of the cheese making process."
121,Lactostearia,,1,"Emulsifier, inhibits spoilage, flavouring agent"
122,Lactylate,,1,"Inhibits spoilage, flavouring agent"
123,Lanolin,,1,"Also known as wool fat or wool wax, it is used as an ointment base in pharmaceutics and cosmetics. Lanolin is often used as a raw material for producing vitamin D3."
124,Lard,,2,Fat from swine particulaly found in the abdominal cavity.Absolutely Haram for us.
125,Lecithin,E322,4,Halal if it is from soy fat or egg yolk; haram if it is from animal fat.In bread and bakery products it increases volume and also acts as an anti-staling agent.Only the producer can provide details of origin.
126,Lipases,E1104,4,"It is a flavour enchancer, an enzyme produced by the liver, pancreas, or stomach, or by plant seeds, that breaks down fats. Lipase derived from pigs or cattle are Haram. Lipase from cattle slaughtered according to Islamic requirements or lipase produced by micro-organisms is Halal. Bacterial lipase is also Halal."
127,Lipids,,4,"Lipids are essential fatty acids found in fish, plant and animals. If source is animal it is haram unless the cattle is slaughtered according to Islamic requirements.Fish and plant sources are halal."
128,Lysine,,1,"Lysine is the limiting amino acid in all cereal grains, but is plentiful in all pulses (legumes). Fish are also quite rich in lysine.It is used to enrich flour and bread."
129,Magnesium stearate,E470,4,"It is an emulsifier, lubricant, binder, anti-caking agent.A common ingrediant in baby powders. When used as a filling agent in the manufacture of capsules and tablets, such as vitamins, the source of this ingredient is typically beef. However, there is an increasing number of vegetarian options in which the product specifically indicates it contains magnesium stearate from vegetable sources."
130,Malt,,1,"Grain of one or more varieties of barley, which has been soaked in water, is made to germinate and then dried. However, if malt has been allowed to ferment in water anaerobically(without air), alcohol would be produced. The liquid becomes unlawful."
131,Maltitol and maltitol syrup,E965,1,"Maltitol is a sugar alcohol used as a sugar substitute. It has 90% of the sweetness of sucrose (table sugar) and nearly identical properties, except for browning. It is used to replace table sugar because it has less calories, does not promote tooth decay and has a somewhat smaller effect on blood glucose."
132,Maltose,,1,A white crystalline sugar formed by the action of diastases enzyme in malt or starch.
133,Mannitol,E421,1,"It is an emulsifier, anti-caking agent, moisture retaining agent and a sweetner."
134,Margarines,,4,"A fatty solid butter substitute consisting of a blend of hydrogenated vegetable oils mixed with emulsifiers, vitamins, coloring matter, and other ingredients. Depending upon the various brands available in the market these ingredients can be animal fats, fish oils, vitamin D3, E numbers, whey and gelatine."
135,Marshmallow,,4,"The marshmallow is a confection that, in its modern form, consists of sugar or corn syrup, beaten egg whites, gelatin that has been pre-softened in water, gum arabic, and flavorings, whipped to a spongy consistency.In muslim countries halal gelatin is used but one must be careful in non-muslim countries where even pork gelatin may be used."
136,Methyl cellulose,E461,1,"It is a chemical compound derived from cellulose. It is sold under a variety of trade names and is used as a thickener and emulsifier in various food and cosmetic products, and also as a treatment of constipation."
137,Methyl silicone,,1,"Better frying, antifoam"
138,Molasses,,1,"Molasses or treacle is a thick syrup by-product from the processing of the sugarcane or sugar beet into sugar.Cane molasses is a common ingredient in baking, often used in baked goods such as gingerbread cookies"
139,Monosodium Glutamate (MSG),E621,1,"Commonly known as MSG, Ajinomoto or Vetsin, is a sodium salt of glutamic acid. MSG is a food additive, popularly marketed as a ""flavour enhancer"".It is used to impart meat flavour as well as other natural food flavours."
140,Natural Flavoring (or Flavors),,4,These Flavorings may be from an animal sourse or plant source.
141,Niacin,E375,1,"Niacin is also known as nicotinic acid or vitamin B3.It is found naturally in liver, heart, kidney, chicken, tuna, leafy vegetables, tomatoes, carrots, dates, nuts and whole grain products."
142,Oleic Acid,,4,Fatty acids occurring widely in animal fats and vegetable oils. The best source in plants is olive oil whereas in animals it is lard.
143,Olive Oil,,1,"Olive oil is a vegetable oil obtained from the olive. It is used in cooking, cosmetics, soaps, and as a fuel for traditional oil lamps. Olive oil is regarded as a healthy dietary oil because of its high content of monounsaturated fat (mainly oleic acid) and polyphenols."
144,Oxalic Acid,,1,"A poisonous, colorless crystalline organic acid, found in many plants, such as spinach, and used as a bleach and rust remover."
145,Oxidised polyethylene,E914,1,A food additive acting as a glazing agent providing shiny appearance or protective coating to foods. Mostly it's based on wax.
146,Oxysterin,,3,"An antioxidant, sequestrant food additive.Used for preventing oil from clouding."
147,PABA,,1,"PABA is taken orally in vitamin supplements. However, its most widely known use is as a sunscreen"
148,Pasta,,4,All macaroni products that fall under the FDA's standard of identity are considered halal. Pasta products made with flavors or macaroni products used in dinners are not considered halal unless the flavors in pasta or other products in the dinner meet halal requirements.
149,Pastry,,4,"Pastry is the name given to various kinds of dough made from ingredients such as flour, butter, shortening, baking powder and/or eggs.One must make sure the source of butter and shortening is vegetable or incase of animal halal."
150,Pectin,E440a,1,"A gelatinous substance extracted from fruits. Commercial pectin is used in the preparation of jams, jellies and similar food products. Pectin can be used to control diarrhoea."
151,Pepsin,,2,Pepsin a digestive enzyme of gastric juice normally present in human body.It is also obtained from the stomachs of hogs and calves and used as a digestive aid.
152,Phenyl Alanine,,4,"Phenylalanine is an essential amino acid contained in most protein rich foods, but especially good sources are dairy products (curd, milk, cottage cheese), avocados, pulses and legumes (particularly peanuts and lima beans), nuts (pistachios, almonds), seeds (piyal seeds), leafy vegetables, whole grains, poultry, fish and other seafoods."
153,Phosphates,,1,Phosphates are the naturally occurring form of the element phosphorus. Phosphates are often used in laundry detergent as a water softener
154,Phospholipids/Phosphatides,,3,"Phospholipids are a class of lipids formed from four components: fatty acids, a negatively-charged phosphate group, nitrogen containing alcohol and a backbone.One of these components may be haram."
155,Phosphoric Acid,E338,1,"An organic compound which is used in pickling and rust-proofing metals, in acidifying jellies and beverages, and in preparing phosphate salts."
156,Polydextrose,E1200,1,"Polydextrose is commonly used as a replacement for sugar, starch, and fat in commercial cakes, candies, dessert mixes, gelatins, frozen desserts, puddings, and salad dressings. Polydextrose is frequently used as an ingredient in low-carb, sugar-free and diabetic cooking recipes. It's also used as a humectant, stabiliser and thickening agent."
157,Potassium citrate,E332,1,Potassium Citrate is rapidly absorbed when given by mouth and is excreted in the urine as the Carbonate.It may be used to control Uric acid kidney stones.
158,Potassium gluconate,E577,1,"Potassium gluconate is a mineral that is found naturally in foods and is necessary for many normal functions of your body, especially the beating of your heart.Potassium gluconate is used to prevent or to treat potassium deficiency."
159,Potassium phosphate,E340,1,"It is a soluble salt which is used as a fertilizer, a food additive and a fungicide. It is a source of phosphorus and potassium, and is a buffering agent."
160,Propionic acid,E280,1,Propionic acid produced is used as a preservative for both animal feed and food for human consumption. It is also used to make pesticides and pharmaceuticals. The esters of propionic acid are sometimes used as solvents or artificial flavorings.
161,Propylene glycol,E1520,1,"An organic compound, it is a humectant food additive, labeled as E number E1520.It is used as a moisturizer in medicines, cosmetics, food, and tobacco products. Halal if from petroleum or other halal source."
162,Pure vegetable shortening,,1,Source of this kind of shortening is always a plant.
163,Quinoline yellow,E104,4,Quinoline Yellow is a yellow/lime green dye.It is halal in its 100% dry form.In liquid form the solvent must be halal.
164,Rennet or Rennin,,2,"The common source of animal-based rennet is the abomasum (fourth stomach) of slaughtered, milk-fed, newborn cow calves/goats/lamb etc and is thus haram. Rennet is commonly used in the making of cheese and junket. Recently however halal options are also available sourced from fig tree bark, nettles, thistles, mallow. Commercial so-called vegetable rennets usually contain rennet from the mold Mucor miehei.Thus, Unless stated otherwise, consider it haram."
165,Riboflavin,E101,1,"It is also known as vitamin B2 or vitamin G Riboflavin is yellow or orange-yellow in colour and in addition to being used as a food colouring it is also used to fortify some foods. It can be found in baby foods, breakfast cereals, sauces, processed cheese, fruit drinks and vitamin-enriched milk products as well as being widely used in vitamin supplements. Usually the source is synthetic."
166,Roe,,1,"Roe is the fully ripe egg masses of fish and certain marine animals, such as sea urchins, shrimp and scallop. As a seafood it is used both as a cooked ingredient in many dishes and as a raw ingredient."
167,Rum,,2,Rum is a distilled beverage made from sugarcane by-products such as molasses and sugarcane juice. Rum may also be used in a number of cooked dishes. It may be used as a flavoring agent in items such as rum balls or rum cakes. Rum is commonly used to macerate fruit used in fruitcakes and is also used in marinades for some Caribbean dishes.
168,Saccharine,E954,1,"Saccharin is the oldest artificial sweetener, discovered in 1879. It is 300 times sweeter than table sugar. It has no caloric value. It is ideal for diabetics and those who want to cut down on caloric intake. This sweetener has been recently taken off the food industry's 'black list'. Officially, it is safe but it is still considered by many as detrimental."
169,Shellac,E904,2,Shellac is a brittle or flaky secretion of the lac insect Coccus lacca.It is used as an outer fruit coating to prevent post-harvest decay (e.g. apples); in dental technology it is used in the production of custom impression trays.
170,Shortening,,4,"Shortening is a semisolid fat used in food preparation, especially baked goods.Both animal and vegetable shortenings are available.The term ""shortening"" can be used more broadly to apply to any fat, such as butter, lard, or margarine, used in baking, but as used in recipes it refers to a hydrogenated vegetable oil that is solid at room temperature hence one must confirm the source before eating."
171,Soap,,4,"Soap is a surfactant used in conjunction with water for washing and cleaning. Soap is derived from either oils or fats. Sodium tallowate, a common ingredient in many soaps, is in fact derived from rendered beef fat which makes it haram.However, Soap can also be made of vegetable oils, such as olive oil.Vegetable oil based soaps are widely available in market."
